weekday,hour,mode,fatal_num
1,0,sedean,22
1,0,van,9
1,0,truck,12
1,0,sedean,23
1,0,truck,21
1,0,van,65
1,0,sedean,14
1,0,truck,25
1,1,sedean,20
1,1,sedean,13
1,1,truck,6
1,1,sedean,21
1,1,motor,23
1,1,motor,57
1,1,motor,13
1,1,motor,26
1,2,sedean,26
1,2,motor,19
1,2,sedean,10
1,2,sedean,18
1,2,sedean,26
1,2,van,74
1,2,truck,17
1,2,motor,36
1,3,truck,29
1,3,motor,7
1,3,motor,6
1,3,van,16
1,3,van,20
1,3,truck,51
1,3,truck,13
1,3,van,28
1,4,van,16
1,4,motor,6
1,4,motor,6
1,4,motor,7
1,4,motor,8
1,4,motor,44
1,4,sedean,11
1,4,van,9
1,5,truck,10
1,5,truck,4
1,5,motor,1
1,5,van,7
1,5,sedean,4
1,5,truck,33
1,5,motor,6
1,5,van,16
1,6,motor,6
1,6,van,2
1,6,motor,5
1,6,motor,9
1,6,motor,1
1,6,sedean,23
1,6,sedean,10
1,6,van,10
1,7,sedean,11
1,7,motor,7
1,7,sedean,4
1,7,motor,5
1,7,sedean,6
1,7,motor,19
1,7,motor,6
1,7,van,11
1,8,motor,8
1,8,truck,3
1,8,sedean,10
1,8,sedean,10
1,8,truck,3
1,8,sedean,21
1,8,motor,6
1,8,van,5
1,9,truck,17
1,9,truck,6
1,9,truck,10
1,9,van,10
1,9,sedean,2
1,9,van,22
1,9,van,6
1,9,motor,8
1,10,sedean,7
1,10,motor,1
1,10,truck,14
1,10,motor,16
1,10,truck,6
1,10,sedean,22
1,10,van,6
1,10,truck,9
1,11,motor,13
1,11,van,9
1,11,truck,15
1,11,motor,15
1,11,van,3
1,11,motor,40
1,11,sedean,10
1,11,sedean,8
1,12,truck,21
1,12,truck,12
1,12,sedean,20
1,12,truck,17
1,12,motor,6
1,12,sedean,31
1,12,motor,6
1,12,motor,6
1,13,van,12
1,13,truck,8
1,13,truck,14
1,13,sedean,29
1,13,motor,4
1,13,van,36
1,13,motor,5
1,13,motor,11
1,14,motor,21
1,14,sedean,12
1,14,truck,26
1,14,truck,20
1,14,van,7
1,14,sedean,40
1,14,motor,8
1,14,truck,16
1,15,motor,14
1,15,van,13
1,15,truck,28
1,15,sedean,35
1,15,truck,9
1,15,motor,45
1,15,motor,17
1,15,sedean,9
1,16,sedean,17
1,16,sedean,12
1,16,sedean,21
1,16,motor,29
1,16,sedean,17
1,16,van,48
1,16,motor,11
1,16,van,9
1,17,sedean,21
1,17,motor,5
1,17,truck,23
1,17,van,21
1,17,van,16
1,17,truck,66
1,17,sedean,7
1,17,van,12
1,18,truck,24
1,18,van,17
1,18,truck,29
1,18,van,25
1,18,van,13
1,18,motor,53
1,18,truck,19
1,18,truck,11
1,19,motor,27
1,19,motor,10
1,19,truck,21
1,19,truck,22
1,19,van,11
1,19,van,49
1,19,van,12
1,19,sedean,16
1,20,van,19
1,20,motor,14
1,20,sedean,26
1,20,van,25
1,20,motor,13
1,20,sedean,57
1,20,motor,10
1,20,truck,20
1,21,motor,18
1,21,van,9
1,21,truck,17
1,21,sedean,19
1,21,van,11
1,21,van,53
1,21,sedean,9
1,21,van,14
1,22,sedean,10
1,22,truck,5
1,22,truck,9
1,22,motor,15
1,22,sedean,9
1,22,van,36
1,22,motor,14
1,22,van,19
1,23,sedean,14
1,23,motor,5
1,23,truck,7
1,23,van,6
1,23,motor,4
1,23,truck,37
1,23,van,5
1,23,van,15
2,0,motor,9
2,0,motor,7
2,0,van,3
2,0,van,7
2,0,motor,13
2,0,van,28
2,0,truck,5
2,0,motor,9
2,1,van,14
2,1,sedean,2
2,1,sedean,2
2,1,van,5
2,1,van,20
2,1,motor,5
2,1,sedean,4
2,2,van,4
2,2,motor,4
2,2,sedean,1
2,2,truck,5
2,2,sedean,4
2,2,sedean,25
2,2,truck,2
2,2,truck,8
2,3,van,7
2,3,truck,2
2,3,van,6
2,3,sedean,14
2,3,motor,2
2,3,truck,6
2,4,van,4
2,4,sedean,2
2,4,sedean,2
2,4,van,6
2,4,truck,2
2,4,truck,14
2,4,truck,2
2,4,motor,5
2,5,van,10
2,5,van,10
2,5,sedean,5
2,5,motor,14
2,5,motor,1
2,5,motor,32
2,5,motor,8
2,5,van,10
2,6,sedean,12
2,6,van,8
2,6,truck,16
2,6,sedean,17
2,6,motor,5
2,6,truck,26
2,6,truck,4
2,6,sedean,10
2,7,truck,14
2,7,sedean,9
2,7,motor,21
2,7,truck,30
2,7,van,36
2,7,truck,10
2,7,truck,14
2,8,truck,5
2,8,truck,5
2,8,truck,23
2,8,truck,12
2,8,sedean,4
2,8,truck,35
2,8,motor,6
2,9,van,10
2,9,van,9
2,9,motor,21
2,9,truck,20
2,9,truck,32
2,9,truck,3
2,9,van,10
2,10,sedean,6
2,10,sedean,8
2,10,sedean,15
2,10,truck,15
2,10,van,5
2,10,sedean,30
2,10,van,7
2,10,sedean,5
2,11,truck,15
2,11,truck,12
2,11,van,16
2,11,van,28
2,11,sedean,1
2,11,truck,23
2,11,sedean,7
2,11,sedean,2
2,12,van,12
2,12,van,10
